region	n	trait	results	abbreviation	category	color
region_chr4_38905401_40200989	234	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr4_73726673_76209554	193	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr5_141266403_143601683	153	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr5_155946495_157201689	65	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr8_120189461_123849219	29	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_9783277_10605687	7	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr11_114387006_114959946	3	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr11_128318642_130472680	1	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr11_128318642_130472680	58	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr12_48608083_51382710	212	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	62	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr15_49715846_51385363	97	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr19_4348970_5811841	38	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr1_158057622_159943258	711	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr3_195065945_196244537	262	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr3_41023037_42498510	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_47685722_49279539	36	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_133923105_135903039	786	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr7_16161_933116	80	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr12_67515949_69432762	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr12_85596648_89288345	9	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr19_11173352_13360313	179	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr5_167420735_169098313	74	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_74463501_76503041	227	MAGNETIC_LDL.C	gwas	LDLC	Cardiometabolic	#004000
region_chr7_2022763_2732593	36	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr7_64180747_66224822	79	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr10_122141030_124109830	12	UKB_1160_Sleep_duration	gwas	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr12_65165915_66787364	88	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	39	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr14_35390387_38198520	18	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr17_3799018_4792966	194	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_217530757_219589829	75	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr3_135738064_137652241	396	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr4_86613495_88316876	48	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr5_167420735_169098313	47	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_30830391_31603441	2208	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr7_114072332_117140124	76	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr9_132423455_134176000	10	MAGNETIC_IDL.TG	gwas	IDL	Cardiometabolic	#004000
region_chr10_26599755_29034307	59	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr12_55272053_57155077	156	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr22_19924835_22002927	33	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr2_198446401_200711561	77	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_26672117_28375910	14	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr3_49279539_51797999	224	UKB_20016_Fluid_intelligence_score	gwas	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr4_145257035_147600722	17	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_40377376_42070983	209	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr6_89263333_91133478	155	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr18_42312683_45342141	59	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr1_76262450_79195513	127	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr2_216850938_217530757	126	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_227255126_228506071	169	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_179974244_181132933	39	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr5_56121522_57325275	5	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr5_94474279_96627815	100	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr11_66131160_68238358	15	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr16_8288517_9705562	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_11717784_12719464	1	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr1_178985335_181174985	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_40054343_43082452	56	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_185350467_187172556	70	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_138501492_139524299	44	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr10_26599755_29034307	119	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr17_74676064_76379479	53	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr19_46646825_48778970	21	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr5_66615458_68555033	167	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_19207256_21683834	28	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr11_55315181_58690022	411	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr13_36924048_38304026	6	UKB_1200_Sleeplessness_or_insomnia	gwas	INSOMN_UKB	Psychiatric-neurologic	#0000A0
region_chr16_27434434_29025292	75	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_3666172_4320751	188	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr20_3847766_5497204	331	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr3_114229016_115728233	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_82417432_84500271	30	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr7_43119475_44724229	19	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr8_37521871_39081287	6	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr9_110015744_112068802	54	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr9_89827251_91404921	11	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr10_61581937_64034354	294	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr15_59401917_60973637	44	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr1_169117086_170588635	128	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	gwas	DVT_UKBS	Cardiometabolic	#004000
region_chr4_30452913_31781359	18	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_88094174_89595713	57	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr8_11421489_13634266	80	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr8_78220626_81044160	2	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr11_100546438_101460390	134	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr11_42288453_44672249	148	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr16_88974757_90226404	2	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr17_82076532_83247139	68	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr18_50204214_53535815	7	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr19_9127717_11173352	53	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr2_43082452_44086664	16	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr4_54563389_55681477	37	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr5_13464722_14757695	2	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr6_26791023_28050041	16	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr8_143155464_145078481	186	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr17_18953007_21387045	1	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_241210506_242147200	120	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr4_53011266_54563389	32	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr5_58044246_59228796	14	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_982137_2132328	12	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr7_6534226_7769121	93	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr13_85036781_87907627	4	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr15_59401917_60973637	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr17_74676064_76379479	1	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr20_63558827_64333810	207	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr2_191108631_194996440	4	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr2_46255495_47091633	32	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_138501492_139524299	4	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr7_99117851_100599028	60	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_7295557_9297184	576	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr12_96715061_98912209	3	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr18_45342141_46719283	195	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr2_58070180_60064865	203	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_32310223_33214100	4	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr5_982137_2132328	16	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr7_2732593_4533797	17	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr10_101189482_102620653	298	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_48413361_50204214	891	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_197342384_199270756	17	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr1_219417229_221684889	182	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_10133_1777250	148	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_38314625_40179807	6	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr5_147802435_149283061	26	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr6_156442192_157797687	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr16_65904663_68807460	374	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr20_50623121_53856010	298	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_38911889_40149793	16	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr5_66615458_68555033	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr7_2732593_4533797	164	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr8_139713400_141963553	17	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr9_115159681_118559259	475	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_23594100_25190354	2	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr6_132444530_133923105	28	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr6_28050041_28949831	529	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr17_66804312_69862629	328	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr18_50204214_53535815	36	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr19_43358303_44239955	36	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_105545220_107867043	2	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr20_39808119_40982216	32	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr21_33004691_33853161	21	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr2_134401007_136285224	372	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr7_76829247_78464542	19	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr14_54766963_55750162	63	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr17_38653091_40721152	663	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr19_48778970_51029311	26	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_1961168_3666172	12	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr4_17381699_18840251	585	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr5_982137_2132328	16	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr10_19427949_22483354	189	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr11_107973474_108566310	50	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr1_79195513_80888506	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr21_14578661_16680846	50	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr2_23118512_24464049	639	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_31327584_33138710	68	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_25684359_26791023	443	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr6_32714887_33268720	43	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr8_14087483_16134151	39	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr10_113568673_114661647	10	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr14_90830516_92665954	359	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_7414079_8403107	26	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr19_2098397_3019662	134	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr19_9127717_11173352	11	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr2_191108631_194996440	1	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr6_25684359_26791023	17	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_32714887_33268720	623	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_43119475_44724229	40	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr17_38653091_40721152	69	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_102072305_102971757	595	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr2_197213386_198446401	36	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr7_106042459_108139733	179	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr8_10605687_11421489	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr10_61581937_64034354	63	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr11_107973474_108566310	257	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr11_59013076_62456299	59	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr12_52645220_54385039	21	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr12_94120791_95627009	1	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr14_101067970_102545765	62	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_107867043_109761309	89	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr8_100608730_103111078	5	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr9_132423455_134176000	12	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr9_79976013_81596318	28	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr10_46978910_49632869	73	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr13_58728137_60280644	1	UKB_1200_Sleeplessness_or_insomnia	gwas	INSOMN_UKB	Psychiatric-neurologic	#0000A0
region_chr16_81738931_82714123	22	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr20_63558827_64333810	103	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr4_80069143_81204161	113	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr8_23039544_24817205	14	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr19_610729_2098397	86	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr1_118296444_148907004	178	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr22_27438791_29255810	99	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr3_46616010_47685722	1	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr12_106564970_108632125	277	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr15_93237673_94381101	4	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr16_65904663_68807460	10	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr17_80863788_82076532	1	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr19_40478694_41625199	155	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_217530757_219589829	1	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr5_81185652_82729829	2	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr6_25684359_26791023	192	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr6_25684359_26791023	47	UKB_20016_Fluid_intelligence_score	gwas	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr8_75544307_78220626	5	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr14_67525600_70665240	6	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr2_181401304_183492880	14	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr6_31603441_32714887	2442	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr7_39823071_41962213	54	UKB_20002_1265_self_reported_migraine	gwas	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr8_56043824_58156092	402	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr13_18445873_20112581	12	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr16_84412277_85115079	7	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr17_57280180_59410151	3	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_79302554_80863788	138	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr1_41509656_43292786	126	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr21_37339402_39110976	13	UKB_20002_1463_self_reported_ulcerative_colitis	gwas	UC_UKBS	Immune	#40A0A0
region_chr4_43963028_45187140	76	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_88094174_89595713	248	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr6_30830391_31603441	4667	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr9_106536473_107932781	147	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
